objID,RA_ICRS,DE_ICRS,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,pmRA,pmDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,spCl,subCl
1237666213540921387,21.53642,32.054929,1,6,1,0.062,0.064,22.365,21.725,21.873,21.63,21.479,0.178,0.054,0.086,0.116,0.317,-8.0E-5,2.6E-4,0,0.0,0.0,,,,3,"SDSS J012608.74+320317.7","6596-56331-0828 ",53263.4042,"STAR  ","WDcooler    "
1237666213540921436,21.519961,32.076437,1,6,1,0.001,0.001,15.91,14.789,14.599,14.542,14.545,0.005,0.003,0.003,0.003,0.004,3.0E-5,1.0E-5,16,-1.85,-4.56,,,,3,"SDSS J012604.79+320435.1","2041-53387-0627 ",53263.4042,"STAR  ","F5          "
1237666213540921443,21.547969,32.077368,1,6,1,0.001,0.001,18.513,16.644,15.929,15.703,15.574,0.014,0.004,0.004,0.004,0.005,-2.2E-4,1.0E-5,0,-2.6,-3.36,,,,3,"SDSS J012611.51+320438.5","2041-53387-0625 ",53263.4042,"STAR  ","K1          "
1237666213540921740,21.534159,32.125908,1,6,1,0.004,0.004,20.095,18.79,18.31,18.132,18.076,0.035,0.008,0.007,0.008,0.021,-1.5E-4,1.0E-5,0,-4.41,1.66,,,,3,"SDSS J012608.19+320733.2","6596-56331-0836 ",53263.4042,"STAR  ","G1V         "
1237666213540986886,21.515474,32.158323,1,6,1,0.002,0.002,17.763,16.802,16.538,16.435,16.403,0.01,0.004,0.004,0.004,0.008,-2.0E-5,1.0E-5,0,33.97,-11.32,,,,3,"SDSS J012603.71+320929.9","2041-53387-0636 ",53263.4046,"STAR  ","F5          "
1237680311773954376,21.269946,31.969102,1,6,1,0.006,0.006,21.417,19.549,18.752,18.49,18.322,0.134,0.013,0.011,0.013,0.03,-2.3E-4,1.0E-5,0,-10.56,0.33,,,,3,"SDSS J012504.78+315808.7","2061-53711-0621 ",55121.4329,"STAR  ","K1          "
1237666213540856053,21.334226,32.013577,1,6,1,0.001,0.001,18.224,16.795,16.295,16.125,16.035,0.012,0.004,0.004,0.004,0.007,-1.4E-4,1.0E-5,0,-4.37,-5.06,,,,3,"SDSS J012520.21+320048.8","2041-53387-0635 ",53263.4037,"STAR  ","F9          "
1237680311773954093,21.220421,32.000997,1,6,1,0.002,0.002,18.257,17.287,16.935,16.813,16.765,0.017,0.005,0.005,0.005,0.011,-5.0E-5,1.0E-5,0,11.25,-4.77,,,,3,"SDSS J012452.90+320003.5","2041-53387-0623 ",55121.4329,"STAR  ","F5          "
1237680311773954107,21.275422,32.08171,1,6,1,0.002,0.002,18.59,17.611,17.269,17.129,17.083,0.02,0.005,0.005,0.006,0.013,-2.1E-4,1.0E-5,0,13.82,-0.94,,,,3,"SDSS J012506.10+320454.1","7728-58138-0700 ",55121.4329,"STAR  ","F3/F5V      "
1237666213540921418,21.366481,32.076322,1,6,1,0.001,0.001,18.308,16.763,16.219,16.031,15.941,0.013,0.004,0.004,0.004,0.006,-2.8E-4,1.0E-5,0,-0.65,3.19,,,,3,"SDSS J012527.95+320434.7","2041-53387-0630 ",53263.4042,"STAR  ","F9          "
1237666213540921918,21.307622,32.102779,1,6,1,0.016,0.015,21.383,20.448,20.252,20.264,20.259,0.085,0.022,0.023,0.036,0.111,-2.9E-4,1.0E-4,0,1.31,1.64,,,,3,"SDSS J012513.82+320610.0","2061-53711-0629 ",53263.4042,"STAR  ","A0          "
1237666213540921488,21.365719,32.118883,1,6,1,0.005,0.005,20.989,19.39,18.676,18.43,18.291,0.064,0.011,0.009,0.01,0.023,-3.7E-4,1.0E-5,0,5.1,-1.53,,,,3,"SDSS J012527.77+320707.9","2061-53711-0635 ",53263.4042,"STAR  ","K1          "
1237666213540921489,21.390662,32.136757,1,6,1,0.006,0.006,20.931,19.482,18.935,18.732,18.546,0.061,0.013,0.01,0.012,0.028,-5.6E-4,1.0E-5,0,2.99,-4.22,,,,3,"SDSS J012533.75+320812.3","2061-53711-0625 ",53263.4042,"STAR  ","F9          "
1237680311773888702,21.184706,32.025765,1,6,0,0.633,0.269,23.426,25.6,23.063,21.306,19.589,1.133,0.875,0.546,0.193,0.143,-3.2E-4,1.4E-4,0,,,,,,3,"SDSS J012444.32+320132.7","7728-58138-0357 ",55121.4325,"STAR  ","M5III       "
1237680311773888670,21.19135,32.039902,1,6,0,0.001,0.001,17.128,16.03,15.561,15.353,15.258,0.01,0.004,0.004,0.004,0.005,-0.00145,1.0E-5,0,-4.59,-5.7,,,,3,"SDSS J012445.92+320223.6","2041-53387-0591 ",55121.4325,"STAR  ","F5          "
1237680311773889314,21.174652,32.084456,1,6,1,0.021,0.022,24.326,20.945,20.359,20.126,20.045,1.154,0.033,0.033,0.044,0.128,-2.3E-4,4.0E-5,0,4.98,-3.17,,,,3,"SDSS J012441.91+320504.0","6597-56304-0042 ",55121.4325,"STAR  ","G0Va        "
1237680316059746554,21.215913,32.156915,1,6,1,0.002,0.002,18.697,17.241,16.688,16.484,16.387,0.025,0.005,0.004,0.005,0.009,-3.3E-4,1.0E-5,0,-2.34,-4.0,,,,3,"SDSS J012451.81+320924.8","2041-53387-0633 ",55121.4616,"STAR  ","F9          "
1237680316059746578,21.251219,32.16009,1,6,1,0.005,0.005,19.726,18.61,18.224,18.077,18.011,0.049,0.008,0.008,0.01,0.025,9.0E-5,2.0E-5,0,4.69,-5.01,,,,3,"SDSS J012500.29+320936.3","2061-53711-0628 ",55121.4616,"STAR  ","F5          "
1237680316059746545,21.198092,32.183601,1,6,1,0.007,0.006,19.837,18.77,18.48,18.392,18.407,0.053,0.009,0.01,0.012,0.034,-2.4E-4,1.0E-5,0,-1.1,1.05,,,,3,"SDSS J012447.54+321100.9","2061-53711-0596 ",55121.4616,"STAR  ","F5          "
1237666213540921750,21.394451,32.170066,1,6,1,0.002,0.002,21.005,18.42,17.392,16.985,16.785,0.064,0.007,0.005,0.005,0.009,-4.0E-5,1.0E-5,0,-2.74,-4.57,,,,3,"SDSS J012534.66+321012.2","6596-56331-0800 ",53263.4042,"STAR  ","K3V         "
1237666213540986905,21.4342,32.170606,1,6,1,0.002,0.002,19.361,17.834,17.265,17.05,16.937,0.023,0.006,0.005,0.005,0.01,-3.2E-4,1.0E-5,0,-2.4,-5.66,,,,3,"SDSS J012544.20+321014.1","2041-53387-0634 ",53263.4046,"STAR  ","F9          "
